idConsulta,botonesClicados,botonesNoClicados,noHayBoton,htmlsDescargados,totalUrls,tEjNoParalelo,tEjParalelo,speedup
rascacielos,0,7,2,9,9,173.83,72.171,2.408585165786812
animalesExtinguidos,3,4,2,9,9,356.284,69.879,5.098584696403783
bolsa,2,5,0,7,7,125.259,28.6,4.3796853146853145
bolsa2,5,3,0,8,8,80.385,40.854,1.9676163900719637
cafeina,4,5,0,9,9,134.153,50.597,2.651402257050813
cena,1,7,0,8,8,178.739,80.846,2.2108576800336444
introversion,3,6,0,9,9,162.473,70.046,2.3195186020615024
lumbarPropiocepcion,1,4,4,9,9,90.177,59.184,1.5236719383617197
motor,3,5,0,8,8,116.876,64.084,1.8237937706759877
musicaClasica,2,3,1,6,6,147.525,65.496,2.252427629168194
plantasHogar,2,6,0,8,8,162.719,128.117,1.2700812538538993
pollo,1,3,5,9,9,84.837,65.587,1.2935032857121076
rodilla,3,7,0,10,10,164.98,65.234,2.5290492687862156
rusiaHistoria,0,6,2,8,8,132.287,55.951,2.3643366517131064
tigres,2,6,0,8,8,130.024,86.855,1.4970237752576132
tortugas,2,6,1,9,9,138.209,51.573,2.679871250460512
